,feature_names,human_readable
54,fixation_texas_mean_DriftDist_H,Mean (over fixations) of horizontal drift distances during fixations~\cite{rigas2018study}
55,fixation_texas_mean_AccProfSk_R,Mean (over fixations) of skewness values of accelerations during fixations (deg/s$^2$)~\cite{rigas2018study}
56,eye_closure__mean_closure_speed_max,mean eye closure maximal speed~\cite{Schleicher2008}
57,saccade_texas_median_centroid_h,Median (over saccades) of horizontal saccade positions~\cite{rigas2018study}
58,count_eye_states_0,Time steps with eye state “open”~Asaphus Vision
59,saccade_texas_std_POC3[MaxIndex],Standard deviation (over saccades) of relative position of greatest deviation between saccadic trajectory&\\& and straight line~\cite{doyle2001curved}
60,fixation_texas_median_PosCentroid_H,Median (over fixations) horizontal position~\cite{rigas2018study}
61,fixation_texas_mean_VelProfSd_V,Mean (over fixations) of standard deviations of vertical velocity~\cite{rigas2018study}
62,saccade_texas_std_amp_r,Standard deviation for saccadic amplitudes~\cite{rigas2018study}
63,saccade_texas_std_RawPOC,Standard deviation (over saccades) of deviations between saccadic trajectory&\\& and straight line~\cite{doyle2001curved}
64,eye_closure_TEC,Blink duration (over eye closures) from onset of closing to full reopening~\cite{wilkinson2013the}
65,saccade_texas_skew_amp_h,Skewness (over saccades) amplitude~\cite{rigas2018study}
66,eye_closure__mean_BTD,Mean (over eye closures) of blink duration from maximum closing to maximum opening velocity~\cite{wilkinson2013the}
67,saccade_texas_std_amp_h,Standard deviation (over saccades) saccadic amplitudes~\cite{rigas2018study}
68,count_fixations,Number of fixations (count)
69,eye_closure__mean_delay_reopening,Mean (over eye closures) of delay between full closure and onset of reopening\cite{Schleicher2008}
70,eye_closure__std_delay_reopening,Standard deviation (over eye closures) delay between full closure and onset of reopening\\cite{Schleicher2008}
71,fixation_texas_std_AccProfSk_R,Standard deviation (over saccades) skewness values of acceleration~\cite{rigas2018study}
72,fixation_texas_mean_AccProfMn_H,Mean (over fixations) of means of horizontal acceleration~\cite{rigas2018study}
73,fixation_texas_std_AccProfKu_V,Standard deviation (over fixations) kurtosis values of vertical acceleration~\cite{rigas2018study}
74,saccade_texas_std_vel_profile_mean_v,Standard deviation (over saccades) delay between full closure and onset of reopening~\cite{Schleicher2008}
